GDP_Type,Guardium_Version,DataSource,DataSource_Version,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GDP,GDP 11.5,IBM Cloud Databases for MongoDB,4.4,,,,https://github.com/IBM/universal-connectors/releases/download/v1.5.0/logstash-filter-mongodb_guardium_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/IBMCloudMongoDB_README.md
GDP,GDP 11.5,IBM Cloud Databases for PostgreSQL,v15,,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-postgres-ibmcloud-guardium/IcdPostgresOverKafkaEvent/guardium_logstash-offline-plugin-icd-postgresql.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-ibmcloud-guardium/README.md
GDP,GDP 12.0,IBM Cloud Databases for MongoDB,4.4,,,,https://github.com/IBM/universal-connectors/releases/download/v1.5.0/logstash-filter-mongodb_guardium_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/IBMCloudMongoDB_README.md
GDP,GDP 12.0,IBM Cloud Databases for PostgreSQL,v15,,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-postgres-ibmcloud-guardium/IcdPostgresOverKafkaEvent/guardium_logstash-offline-plugin-icd-postgresql.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-ibmcloud-guardium/README.md
GDP,GDP 12.1,IBM Cloud Databases for MongoDB,4.4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/IBMCloudMongoDB_README.md
GDP,GDP 12.2,IBM Cloud Databases for MongoDB,4.4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/IBMCloudMongoDB_README.md
GDP,GDP 12.1,IBM Cloud Databases for PostgreSQL,v15,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-ibmcloud-guardium/README.md
GDP,GDP 12.2,IBM Cloud Databases for PostgreSQL,v15,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-ibmcloud-guardium/README.md
GDP,GDP 12.2.2,IBM watsonx over JDBC,2.3.1,,,,,https://github.com/IBM/universal-connectors/blob/main/docs/KafkaBasedUCs/WatsonXKafkaConnect.md
