GDP_Type,Guardium_Version,DataSource,DataSource_Version,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GDP,GDP 12.1,Amazon RDS for MariaDB,10.6.10,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-aws-guardium/README.md
GDP,GDP 12.2,Amazon RDS for MariaDB,10.6.10,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-aws-guardium/README.md
GDP,GDP 12.1,Amazon RDS for MySQL,5.7,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-aws-guardium/README.md
GDP,GDP 12.2,Amazon RDS for MySQL,5.7,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-aws-guardium/README.md
GDP,GDP 12.1,Amazon RDS for PostgreSQL,13,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AwsPostgres_README.md
GDP,GDP 12.2,Amazon RDS for PostgreSQL,13,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AwsPostgres_README.md
GDP,GDP 12.1,Amazon RDS for PostgreSQL,14,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AwsPostgres_README.md
GDP,GDP 12.2,Amazon RDS for PostgreSQL,14,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AwsPostgres_README.md
GDP,GDP 12.1,Amazon Aurora PostgreSQL,13,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AuroraPostgres_README.md
GDP,GDP 12.2,Amazon Aurora PostgreSQL,13,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AuroraPostgres_README.md
GDP,GDP 12.1,Amazon Redshift,1.0.40182,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-redshift-aws-guardium/README.md
GDP,GDP 12.2,Amazon Redshift,1.0.40182,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-redshift-aws-guardium/README.md
GDP,GDP 12.1,Amazon S3,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-s3-guardium/README.md
GDP,GDP 12.2,Amazon S3,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-s3-guardium/README.md
GDP,GDP 12.1,DocumentDB,4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-documentdb-aws-guardium/README.md
GDP,GDP 12.2,DocumentDB,4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-documentdb-aws-guardium/README.md
GDP,GDP 12.1,Neptune,1.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDP,GDP 12.2,Neptune,1.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDP,GDP 12.1,Amazon RDS for SQL Server,14.00.3281.6,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/AWSMSSQL_README.md
GDP,GDP 12.2,Amazon RDS for SQL Server,14.00.3281.6,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/AWSMSSQL_README.md
GDP,GDP 12.1,Amazon RDS for Oracle,18,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDP,GDP 12.2,Amazon RDS for Oracle,18,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDSC,GDSC 3.3.0,Amazon Aurora MySQL,2.07.2,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-aurora-mysql-guardium/README.md
GDSC,GDSC 3.3.0,Amazon DynamoDB,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-dynamodb-guardium/README.md
GDSC,GDSC 3.3.0,Amazon RDS for MariaDB,10.5.17,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-aws-guardium/README.md
GDSC,GDSC 3.3.0,Amazon RDS for MySQL,5.7,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-aws-guardium/README.md
GDSC,GDSC 3.3.0,Amazon RDS for PostgreSQL,13,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AwsPostgres_README.md
GDSC,GDSC 3.2.0,Amazon S3,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-s3-guardium/README.md
GDSC,GDSC 3.3.0,DocumentDB,4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-documentdb-aws-guardium/README.md
GDSC,GDSC 3.3.0,Neptune,1.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
