GDP_Type,GuardiumVersion,OSName,OSVersion,DatabaseName,DatabaseVersion,Network traffic,Local traffic,Encrypted traffic,Shared Memory,Kerberos,Blocking,Redaction,UID Chain,Compression,Query Rewrite,Instance Discovery,Protocol,Notes
GDP,11.5,CentOS,CentOS 7x,Aster,Aster 6.20,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 7,Aster,Aster 6.20,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x 7.6 PPC64LE SSL encryption not supported
GDP,11.5,Red Hat,Red Hat 8,Aster,Aster 6.20,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 9,Aster,Aster 6.20,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,CentOS,CentOS 7x,Apache Cassandra,Cassandra 3.5,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,KTAP,KTAP,KTAP,,,,
GDP,11.5,Red Hat,Red Hat 7,Apache Cassandra,Cassandra 3.5,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,KTAP,KTAP,KTAP,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE Cassandra Compression supported
GDP,11.5,Red Hat,Red Hat 8,Apache Cassandra,Cassandra 3.5,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,KTAP,KTAP,KTAP,,,,
GDP,11.5,Red Hat,Red Hat 9,Apache Cassandra,Cassandra 3.5,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,KTAP,KTAP,KTAP,,,,
GDP,11.5,CentOS,CentOS 7x,Apache Cassandra,Cassandra 4.1,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,,KTAP,KTAP,,,,
GDP,11.5,Red Hat,Red Hat 7,Apache Cassandra,Cassandra 4.1,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,,KTAP,KTAP,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE Cassandra Compression supported
GDP,11.5,Red Hat,Red Hat 8,Apache Cassandra,Cassandra 4.1,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,,KTAP,KTAP,,,,
GDP,11.5,Red Hat,Red Hat 9,Apache Cassandra,Cassandra 4.1,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,,KTAP,KTAP,,,,
GDP,11.5,CentOS,CentOS 7x,DataStax Enterprise,DataStax Enterprise 6.0,Configure Cassandra auditing to log to a FileAppender ,,Configure Cassandra auditing to log to a FileAppender ,,,,,,,,,,
GDP,11.5,Red Hat,Red Hat 7,DataStax Enterprise,DataStax Enterprise 6.0,Configure Cassandra auditing to log to a FileAppender ,,Configure Cassandra auditing to log to a FileAppender ,,,,,,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE SSL supported
GDP,11.5,Red Hat,Red Hat 8,DataStax Enterprise,DataStax Enterprise 6.0,Configure Cassandra auditing to log to a FileAppender ,,Configure Cassandra auditing to log to a FileAppender ,,,,,,,,,,
GDP,11.5,Red Hat,Red Hat 9,DataStax Enterprise,DataStax Enterprise 6.0,Configure Cassandra auditing to log to a FileAppender ,,Configure Cassandra auditing to log to a FileAppender ,,,,,,,,,,
GDP,11.5,CentOS,CentOS 7x,DataStax Enterprise,DataStax Enterprise 6.8,Configure Cassandra auditing to log to a FileAppender ,,Configure Cassandra auditing to log to a FileAppender ,,,,,,,,,,
GDP,11.5,Red Hat,Red Hat 7,DataStax Enterprise,DataStax Enterprise 6.8,Configure Cassandra auditing to log to a FileAppender ,,Configure Cassandra auditing to log to a FileAppender ,,,,,,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE SSL supported
GDP,11.5,Red Hat,Red Hat 8,DataStax Enterprise,DataStax Enterprise 6.8,Configure Cassandra auditing to log to a FileAppender ,,Configure Cassandra auditing to log to a FileAppender ,,,,,,,,,,
GDP,11.5,Red Hat,Red Hat 9,DataStax Enterprise,DataStax Enterprise 6.8,Configure Cassandra auditing to log to a FileAppender ,,Configure Cassandra auditing to log to a FileAppender ,,,,,,,,,,
GDP,11.5,CentOS,CentOS 7x,Cloudera,Cloudera 2.6,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,Red Hat,Red Hat 8,Cloudera,Cloudera 2.6,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,Red Hat,Red Hat 9,Cloudera,Cloudera 2.6,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,CentOS,CentOS 7x,Cloudera,Cloudera 5.12.0,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,Red Hat,Red Hat 7,Cloudera,Cloudera 5.12.0,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,Red Hat,Red Hat 8,Cloudera,Cloudera 5.12.0,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,Red Hat,Red Hat 9,Cloudera,Cloudera 5.12.0,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,CentOS,CentOS 7x,Cloudera,Cloudera 5.3,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,Red Hat,Red Hat 7,Cloudera,Cloudera 5.3,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,Red Hat,Red Hat 8,Cloudera,Cloudera 5.3,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,Red Hat,Red Hat 9,Cloudera,Cloudera 5.3,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,CentOS,CentOS 7x,Cloudera,Cloudera 5.8,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,Red Hat,Red Hat 7,Cloudera,Cloudera 5.8,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,Red Hat,Red Hat 8,Cloudera,Cloudera 5.8,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,Red Hat,Red Hat 9,Cloudera,Cloudera 5.8,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,Yes,,
GDP,11.5,CentOS,CentOS 7x,Cloudera,Cloudera 6.2,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,Red Hat,Red Hat 7,Cloudera,Cloudera 6.2,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,Red Hat,Red Hat 8,Cloudera,Cloudera 6.2,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,Red Hat,Red Hat 9,Cloudera,Cloudera 6.2,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,CentOS,CentOS 7x,Cloudera,Cloudera 6.3,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,Red Hat,Red Hat 7,Cloudera,Cloudera 6.3,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,Red Hat,Red Hat 8,Cloudera,Cloudera 6.3,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,Red Hat,Red Hat 9,Cloudera,Cloudera 6.3,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,CentOS,CentOS 7x,Cloudera,Cloudera 7.0,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,Red Hat,Red Hat 7,Cloudera,Cloudera 7.0,Cloudera Navigator,,Configure Cassandra auditing to log to a FileAppender ,,Cloudera Navigator,,,,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,Red Hat,Red Hat 8,Cloudera,Cloudera 7.0,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,Red Hat,Red Hat 9,Cloudera,Cloudera 7.0,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,CentOS,CentOS 7x,Cloudera,Cloudera 7.1,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,Red Hat,Red Hat 7,Cloudera,Cloudera 7.1,Cloudera Navigator,,Configure Cassandra auditing to log to a FileAppender ,,Cloudera Navigator,,,,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,Red Hat,Red Hat 8,Cloudera,Cloudera 7.1,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,Red Hat,Red Hat 9,Cloudera,Cloudera 7.1,Cloudera Navigator,,Cloudera Navigator,,Cloudera Navigator,,,,,,,,
GDP,11.5,Red Hat,Red Hat 7,CockroachDB,CockroachDB 20.1,KTAP,KTAP,,,,KTAP,KTAP,KTAP,KTAP,,,,
GDP,11.5,Red Hat,Red Hat 8,CockroachDB,CockroachDB 20.1,KTAP,KTAP,,,,KTAP,KTAP,KTAP,KTAP,,,,
GDP,11.5,Red Hat,Red Hat 9,CockroachDB,CockroachDB 20.1,KTAP,KTAP,,,,KTAP,KTAP,KTAP,KTAP,,,,
GDP,11.5,CentOS,CentOS 7x,CouchDB,Couch 2.1,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 7,CouchDB,Couch 2.1,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,Red Hat,Red Hat 8,CouchDB,Couch 2.1,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 9,CouchDB,Couch 2.1,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,CentOS,CentOS 7x,CouchDB,Couch 2.3,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 7,CouchDB,Couch 2.3,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,CentOS,CentOS 7x,CouchDB,Couch 3,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 7,CouchDB,Couch 3,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,CentOS,CentOS 7x,CouchDB,Couch 3.2,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 7,CouchDB,Couch 3.2,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,CentOS,CentOS 7x,CouchDB,Couch 3.3,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 7,CouchDB,Couch 3.3,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE
GDP,11.5,CentOS,CentOS 7x,Couchbase,Couchbase 6,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 7,Couchbase,Couchbase 6,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 8,Couchbase,Couchbase 6,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 9,Couchbase,Couchbase 6,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,CentOS,CentOS 7x,Couchbase,Couchbase 6.5,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 7,Couchbase,Couchbase 6.5,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 8,Couchbase,Couchbase 6.5,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 9,Couchbase,Couchbase 6.5,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,CentOS,CentOS 7x,Couchbase,Couchbase 7.0,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 7,Couchbase,Couchbase 7.0,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 8,Couchbase,Couchbase 7.0,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 9,Couchbase,Couchbase 7.0,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,CentOS,CentOS 7x,Couchbase,Couchbase 7.1,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 7,Couchbase,Couchbase 7.1,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 8,Couchbase,Couchbase 7.1,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,Red Hat,Red Hat 9,Couchbase,Couchbase 7.1,Double proxy setting,Double proxy setting,Double proxy setting,,,Double proxy setting,,,,,,,"Couchbase does not transmit the ""DB user"" in TCP communications, so Guardium cannot capture it by using double proxy configuration."
GDP,11.5,z/OS,z/OS 2.3,IBM Data Sets for z/OS,IBM Data Sets for z/OS 2.3,,Yes,,Yes,,,,,,,,,
GDP,11.5,z/OS,z/OS 2.4,IBM Data Sets for z/OS,IBM Data Sets for z/OS 2.3,,Yes,,Yes,,,,,,,,,
GDP,11.5,AIX,AIX 7.2,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW
GDP,11.5,AIX,AIX 7.3,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW
GDP,11.5,CentOS,CentOS 7x,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,ATAP with Linux 2.6.36 and higher only.
GDP,11.5,HPUX,HPUX 11.23 PARISC 11.23 IA64,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW
GDP,11.5,HPUX,HPUX 11.31 PARISC 11.31 IA64,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW
GDP,11.5,Red Hat,Red Hat 7,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher. Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE. ATAP ATAP with Linux 2.6.36 and higher only
GDP,11.5,Red Hat,Red Hat 8,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher.
GDP,11.5,Red Hat,Red Hat 9,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher.
GDP,11.5,Solaris,Solaris 10,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The version of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW
GDP,11.5,Solaris,Solaris 11.2,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to use Db2 Exit are V97FP9 V101 V105 or higher The versions of Db2 required in order to capture UID chain using Db2 Exit are V97FP10 V101FP4 V105FP3 or higher For Db2 LUW LDAP authentication is supported from
GDP,11.5,Solaris,Solaris 11.3,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to use Db2 Exit are V97FP9 V101 V105 or higher The versions of Db2 required in order to capture UID chain using Db2 Exit are V97FP10 V101FP4 V105FP3 or higher For Db2 LUW LDAP authentication is supported from
GDP,11.5,Solaris,Solaris 11.4,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,With V11.0 Stap.  The versions of Db2 required in order to use Db2 Exit are V97FP9 V101 V105 or higher The versions of Db2 required in order to capture UID chain using Db2 Exit are V97FP10 V101FP4 V105FP3 or higher For Db2 LUW LDAP authentication
GDP,11.5,Suse,Suse 12 64bit,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW. ATAP with Linux 2.6.36 and higher only.
GDP,11.5,Suse,Suse 15 64bit,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW. ATAP with Linux 2.6.36 and higher only.
GDP,11.5,Ubuntu,Ubuntu 16.04,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",,,,KTAP,KTAP,KTAP,KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW
GDP,11.5,zLinux,zLinux Red Hat 7,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher. Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE. ATAP ATAP with Linux 2.6.36 and higher only
GDP,11.5,zLinux,zLinux Red Hat 8,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher.
GDP,11.5,zLinux,zLinux Suse 12 64bit,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW. ATAP with Linux 2.6.36 and higher only.
GDP,11.5,zLinux,zLinux Suse 15 64bit,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW. ATAP with Linux 2.6.36 and higher only.
GDP,11.5,zLinux,zLinux Ubuntu 18.04,IBM Db2,IBM Db2 10.1,"Db2 Exit, KTAP","Db2 Exit, KTAP",,,,KTAP,KTAP,KTAP,KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V10.1FP4 or higher For Db2 LUW
GDP,11.5,AIX,AIX 7.2,IBM Db2,IBM Db2 10.5,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V105FP3 or higher
GDP,11.5,AIX,AIX 7.3,IBM Db2,IBM Db2 10.5,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V105FP3 or higher
GDP,11.5,CentOS,CentOS 7x,IBM Db2,IBM Db2 10.5,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,ATAP with Linux 2.6.36 and higher only.
GDP,11.5,HPUX,HPUX 11.23 PARISC 11.23 IA64,IBM Db2,IBM Db2 10.5,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V105FP3 or higher
GDP,11.5,HPUX,HPUX 11.31 PARISC 11.31 IA64,IBM Db2,IBM Db2 10.5,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V105FP3 or higher
GDP,11.5,Red Hat,Red Hat 7,IBM Db2,IBM Db2 10.5,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V105FP3 or higher. Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE. ATAP with Linux 2.6.36 and higher only.
GDP,11.5,Red Hat,Red Hat 8,IBM Db2,IBM Db2 10.5,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V105FP3 or higher.
GDP,11.5,Red Hat,Red Hat 9,IBM Db2,IBM Db2 10.5,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, ATAP",,"Db2 Exit, KTAP, ATAP",KTAP,"Db2 Exit, KTAP",KTAP,KTAP,Yes,,The versions of Db2 required in order to capture UID chain using Db2 Exit is V105FP3 or higher.
GDP,11.5,Solaris,Solaris 10,IBM Db2,IBM Db2 10.5,"Db2 Exit, KTAP","Db2 Exit, KTAP",Db2 Exit,"Db2 Exit, KTAP",,"Db2 Exit, KTAP",KTAP,"Db2 Exit, KTAP",KTAP,,Yes,,The version of Db2 required in order to capture UID chain using Db2 Exit is V105FP3 or higher
